院校名称,院校代码,所在地区,院校主管部门,院校层次,院校满意度
天津中医药大学,10063,天津,天津市教育委员会,本科,3.5
天津师范大学,10065,天津,天津市教育委员会,本科,4.0
天津职业技术师范大学,10066,天津,天津市教育委员会,本科,3.8
天津外国语大学,10068,天津,天津市教育委员会,本科,3.6
天津商业大学,10069,天津,天津市教育委员会,本科,4.0
天津财经大学,10070,天津,天津市教育委员会,本科,4.0
天津体育学院,10071,天津,天津市教育委员会,本科,4.3
天津音乐学院,10072,天津,天津市教育委员会,本科,4.4
天津美术学院,10073,天津,天津市教育委员会,本科,3.6
河北工业大学,10080,天津,河北省教育厅,本科,4.2
天津城建大学,10792,天津,天津市教育委员会,本科,4.0
天津天狮学院,10859,天津,天津市教育委员会,本科,3.8
天津市职业大学,11032,天津,天津市教育委员会,高职(专科),4.1
天津医学高等专科学校,11908,天津,天津市教育委员会,高职(专科),3.9
天津中德应用技术大学,12105,天津,天津市教育委员会,本科,4.0
天津滨海职业学院,12484,天津,天津市教育委员会,高职(专科),3.8
天津渤海职业技术学院,12719,天津,天津市教育委员会,高职(专科),3.5
天津电子信息职业技术学院,12720,天津,天津市教育委员会,高职(专科),3.8
天津机电职业技术学院,12721,天津,天津市教育委员会,高职(专科),3.6
天津现代职业技术学院,12722,天津,天津市教育委员会,高职(专科),4.0
天津公安警官职业学院,12723,天津,天津市教育委员会,高职(专科),2.7
天津轻工职业技术学院,12732,天津,天津市教育委员会,高职(专科),3.9
天津商务职业学院,12788,天津,天津市教育委员会,高职(专科),4.0
天津国土资源和房屋职业学院,12803,天津,天津市教育委员会,高职(专科),3.8
天津艺术职业学院,12882,天津,天津市教育委员会,高职(专科),3.1
天津交通职业学院,12883,天津,天津市教育委员会,高职(专科),3.8
天津外国语大学滨海外事学院,13658,天津,天津市教育委员会,本科,3.3
天津传媒学院,13659,天津,天津市教育委员会,本科,3.6
天津商业大学宝德学院,13660,天津,天津市教育委员会,本科,3.9
天津医科大学临床医学院,13661,天津,天津市教育委员会,本科,3.3
天津工业职业学院,13700,天津,天津市教育委员会,高职(专科),4.1
天津石油职业技术学院,13701,天津,天津市教育委员会,高职(专科),3.2
天津城市职业学院,13702,天津,天津市教育委员会,高职(专科),3.2
天津铁道职业技术学院,13863,天津,天津市教育委员会,高职(专科),3.7
天津理工大学中环信息学院,13897,天津,天津市教育委员会,本科,2.5
北京科技大学天津学院,13898,天津,天津市教育委员会,本科,3.9
天津工艺美术职业学院,13911,天津,天津市教育委员会,高职(专科),N/A
天津城市建设管理职业技术学院,14020,天津,天津市教育委员会,高职(专科),4.0
天津生物工程职业技术学院,14021,天津,天津市教育委员会,高职(专科),3.1
天津海运职业学院,14022,天津,天津市教育委员会,高职(专科),3.4
天津仁爱学院,14038,天津,天津市教育委员会,本科,4.0
天津财经大学珠江学院,14087,天津,天津市教育委员会,本科,3.3
天津体育职业学院,14599,天津,天津市教育委员会,高职(专科),N/A
天津滨海汽车工程职业学院,14600,天津,天津市教育委员会,高职(专科),3.7
陆军军事交通学院,91013,天津,中央军委训练管理部,本科,N/A
河北大学,10075,河北,河北省教育厅,本科,4.2
河北工程大学,10076,河北,河北省教育厅,本科,4.2
河北地质大学,10077,河北,河北省教育厅,本科,4.2
华北电力大学(保定),10079,河北,教育部,本科,4.5
华北理工大学,10081,河北,河北省教育厅,本科,4.1
河北科技大学,10082,河北,河北省教育厅,本科,4.3
河北建筑工程学院,10084,河北,河北省教育厅,本科,4.2
河北水利电力学院,10085,河北,河北省教育厅,本科,4.4
河北农业大学,10086,河北,河北省教育厅,本科,4.4
河北医科大学,10089,河北,河北省教育厅,本科,3.9
河北北方学院,10092,河北,河北省教育厅,本科,4.0
承德医学院,10093,河北,河北省教育厅,本科,4.3
河北师范大学,10094,河北,河北省教育厅,本科,4.3
保定学院,10096,河北,河北省教育厅,本科,4.2
河北民族师范学院,10098,河北,河北省教育厅,本科,4.3
唐山师范学院,10099,河北,河北省教育厅,本科,4.0
廊坊师范学院,10100,河北,河北省教育厅,本科,3.8
衡水学院,10101,河北,河北省教育厅,本科,3.9
石家庄学院,10102,河北,河北省教育厅,本科,4.0
邯郸学院,10103,河北,河北省教育厅,本科,4.0
邢台学院,10104,河北,河北省教育厅,本科,4.1
沧州师范学院,10105,河北,河北省教育厅,本科,4.1
石家庄铁道大学,10107,河北,河北省教育厅,本科,4.3
燕山大学,10216,河北,河北省教育厅,本科,4.3
河北科技师范学院,10798,河北,河北省教育厅,本科,3.9
唐山学院,11033,河北,河北省教育厅,本科,4.1
邯郸职业技术学院,11034,河北,河北省教育厅,高职(专科),4.2
华北科技学院,11104,河北,应急管理部,本科,4.3
中国人民警察大学,11105,河北,公安部,本科,3.3
河北体育学院,11236,河北,河北省教育厅,本科,4.3
石家庄职业技术学院,11238,河北,河北省教育厅,高职(专科),4.5
河北金融学院,11420,河北,河北省教育厅,本科,4.3
张家口职业技术学院,11423,河北,河北省教育厅,高职(专科),4.0
